Word,Count
to,24
*,23
,16
method,13
type,11
return,11
:,10
thread,10
void,9
the,7
Date:,6
2019/06/27,6
Class,6
Varad,6
@author:,6
from,6
is,6
Parlikar,6
Created,6
employee,6
uses,6
and,5
print,5
collection,4
5000,4
in,4
of,4
class,4
1,4
synchronization,4
numbers,4
multithreading,3
run,3
file,3
invoked,3
set,3
start,3
new,3
constructor,3
shared,3
main,3
mobile,2
extends,2
this.mode.set(mode);,2
use,2
using,2
required,2
on,2
implement,2
perform,2
resources,2
data,2
used,2
string,2
parameterized,2
prints,2
format,2
manipulate,2
records,2
write,2
EmpInfoMerger,2
number,2
at,1
ThreadLocal<String>();,1
store,1
searches,1
private,1
record,1
threads,1
as,1
searchMobile,1
isValid,1
or,1
access,1
generics,1
argument,1
=,1
valid,1
boolean,1
add,1
ThreadDemo1,1
contents,1
ThreadDemo2,1
it,1
Runnable,1
writeToResource,1
which,1
different,1
TestThreads,1
not,1
writeToFile,1
synchronized,1
printAll,1
if,1
mode,1
information,1
tasks,1
GenericsTest,1
its,1
TestEmpInfoMerger,1
@String,1
static,1
check,1
matched,1
hash,1
inteface,1
execution,1
a,1
entered,1
read,1
implements,1
maps,1
addToDictionary,1
conecpt,1
resource,1
ThreadLocal<String>,1
methods,1
map,1
concept,1
common,1
operations,1
