Word,Count
*,7
,5
return,5
type,5
method,5
employee,5
to,5
collection,4
:,4
is,3
in,3
the,3
set,3
void,3
string,2
records,2
number,2
mobile,2
information,1
printAll,1
main,1
data,1
constructor,1
valid,1
@author:,1
prints,1
format,1
Created,1
as,1
manipulate,1
addToDictionary,1
searches,1
Class,1
record,1
entered,1
map,1
uses,1
Date:,1
argument,1
searchMobile,1
boolean,1
add,1
hash,1
new,1
Varad,1
not,1
Parlikar,1
if,1
generics,1
@String,1
static,1
check,1
matched,1
used,1
a,1
2019/06/27,1
maps,1
from,1
isValid,1
or,1
GenericsTest,1
store,1
